作者,詩名,內容
李白,菩薩蠻·平林漠漠煙如織,"平林漠漠煙如織，寒山一帶傷心碧。
暝色入高樓，有人樓上愁。玉階空佇立，宿鳥歸飛急。
何處是歸程？長亭連短亭。(連短亭 一作：更短亭) 
        "
李白,把酒問月,青天有月來幾時，我今停杯一問之：人攀明月不可得，月行卻與人相隨？皎如飛鏡臨丹闕，綠煙滅儘清輝發？但見宵從海上來，寧知曉向雲間冇？白兔搗藥秋複春，嫦娥孤棲與誰鄰？今人不見古時月，今月曾經照古人。古人今人若流水，共看明月皆如此。唯願當歌對酒時，月光長照金樽裡。
李白,春思,燕草如碧絲，秦桑低綠枝。當君懷歸日，是妾斷腸時。春風不相識，何事入羅幃。
李白,春夜洛城聞笛,誰家玉笛暗飛聲，散入春風滿洛城。此夜曲中聞折柳，何人不起故園情。
李白,古風 其十九,"西上蓮花山，迢迢見明星。(西上 一作：西嶽)素手把芙蓉，虛步躡太清。霓裳曳廣帶，飄拂升天行。邀我登雲台，高揖衛叔卿。恍恍與之去，駕鴻淩紫冥。俯視洛陽川，茫茫走胡兵。流血塗野草，豺狼儘冠纓。 
        "
李白,關山月,明月出天山，蒼茫雲海間。長風幾萬裡，吹度玉門關。漢下白登道，胡窺青海灣。由來征戰地，不見有人還。戍客望邊邑，思歸多苦顏。高樓當此夜，歎息未應閒。
李白,將進酒·君不見黃河之水天上來,君不見黃河之水天上來，奔流到海不複回。君不見高堂明鏡悲白發，朝如青絲暮成雪。人生得意須儘歡，莫使金樽空對月。天生我材必有用，千金散儘還複來。烹羊宰牛且為樂，會須一飲三百杯。岑夫子，丹丘生，將進酒，杯莫停。與君歌一曲，請君為我側耳聽。鐘鼓饌玉不足貴，但願長醉不複醒。古來聖賢皆寂寞，惟有飲者留其名。陳王昔時宴平樂，鬥酒十千恣歡謔。主人何為言少錢，徑須沽取對君酌。五花馬，千金裘，呼兒將出換美酒，與爾同銷萬古愁。
李白,夢遊天姥吟留彆,海客談瀛洲，煙濤微茫信難求。越人語天姥，雲霞明滅或可睹。天姥連天向天橫，勢拔五嶽掩赤城。天台四萬八千丈，對此欲倒東南傾。我欲因之夢吳越，一夜飛度鏡湖月。湖月照我影，送我至剡溪。謝公宿處今尚在，淥水蕩漾清猿啼。腳著謝公屐，身登青雲梯。半壁見海日，空中聞天雞。千岩萬轉路不定，迷花倚石忽已暝。熊咆龍吟殷岩泉，栗深林兮驚層巔。雲青青兮欲雨，水澹澹兮生煙。列缺霹靂，丘巒崩摧。洞天石扉，訇然中開。青冥浩蕩不見底，日月照耀金銀台。霓為衣兮風為馬，雲之君兮紛紛而來下。虎鼓瑟兮鸞回車，仙之人兮列如麻。忽魂悸以魄動，恍驚起而長嗟。惟覺時之枕席，失向來之煙霞。世間行樂亦如此，古來萬事東流水。彆君去時何時還，且放白鹿青崖間，須行即騎訪名山。安能摧眉折腰事權貴，使我不得開心顏。
李白,菩薩蠻·舉頭忽見衡陽雁,"舉頭忽見衡陽雁。千聲萬字情何限。叵而薄情夫。一行書也無。 泣歸香閣恨。和淚掩紅粉。待雁卻回時。也無書寄伊。 
        "
李白,清平樂·禁庭春晝,禁庭春晝，鶯羽披新繡。百草巧求花下鬥，隻賭珠璣滿鬥。日晚卻理殘妝，禦前閒舞霓裳。誰道腰肢窈窕，折旋笑得君王。
